date,index,ln_index,daily_return
1990-01-03,460.9,6.133181099726462,0.0034121937413491565
1990-01-04,459.39,6.129899522495226,-0.0032815772312364544
1990-01-05,458.22,6.127349418128348,-0.002550104366878081
1990-01-08,458.71,6.128418202106719,0.0010687839783711794
1990-01-09,456.77,6.12417998192946,-0.0042382201772586114
1990-01-10,450.7,6.110801929696603,-0.013378052232857485
1990-01-11,448.86,6.106711035112369,-0.004090894584233951
1990-01-12,439.72,6.0861381607106635,-0.0205728744017053
1990-01-15,436.64,6.079109056960029,-0.007029103750634924
1990-01-16,440.16,6.087138297176264,0.008029240216235856
1990-01-17,438.68,6.083770217892008,-0.003368079284256531
1990-01-18,437.52,6.081122419038517,-0.002647798853490535
1990-01-19,440.88,6.08877272957498,0.007650310536462257
1990-01-22,431.94,6.068286689709266,-0.0204860398657134
1990-01-23,430.42,6.064761476169439,-0.0035252135398273765
1990-01-24,425.66,6.053640905534658,-0.011120570634781224
1990-01-25,425.24,6.052653715420404,-0.0009871901142535222
1990-01-26,421.33,6.043416374614993,-0.009237340805411165
1990-01-29,418.11,6.0357445557995275,-0.007671818815465414
1990-01-30,410.72,6.01791171712283,-0.01783283867669727
1990-01-31,415.81,6.030228425158765,0.012316708035934987
1990-02-01,417.76,6.034907104950818,0.004678679792053053
1990-02-02,422.21,6.045502820590854,0.010595715640035586
1990-02-05,424.73,6.051453672921953,0.005950852331099377
1990-02-06,423.99,6.0497098700481695,-0.0017438028737837286
1990-02-07,426.79,6.056292088975038,0.006582218926868499
1990-02-08,427.32,6.057533147077686,0.0012410581026482959
1990-02-09,428.84,6.061083888988039,0.0035507419103524285
1990-02-12,426.38,6.055330967436396,-0.005752921551642309
1990-02-13,425.75,6.053852319542798,-0.0014786478935988612
1990-02-14,426.56,6.055753036990344,0.0019007174475467181
1990-02-15,429.61,6.062877820391151,0.007124783400806578
1990-02-16,429.01,6.0614802286796525,-0.001397591711498336
1990-02-20,423.83,6.0493324314364365,-0.012147797243216019
1990-02-21,421.52,6.04386722590103,-0.005465205535406525
1990-02-22,422.75,6.04678098777869,0.002913761877660015
